Ticker,Name,Exchange,exchangeDisplay,Type,TypeDisplay
XFFE,XFFE,XFFE,XFFE,XFFE,XFFE
XDEV,XDEV,XDEV,XDEV,XDEV,XDEV
XSER,XSER,XSER,XSER,XSER,XSER
XDEM,XDEM,XDEM,XDEM,XDEM,XDEM
XEIN,XEIN,XEIN,XEIN,XEIN,XEIN
X25E,X25E,X25E,X25E,X25E,X25E
XEMB,XEMB,XEMB,XEMB,XEMB,XEMB
X03E,X03E,X03E,X03E,X03E,X03E
XEON,XEON,XEON,XEON,XEON,XEON
XMVE,XMVE,XMVE,XMVE,XMVE,XMVE
XMEA,XMEA,XMEA,XMEA,XMEA,XMEA
XEOD,XEOD,XEOD,XEOD,XEOD,XEOD
XCBE,XCBE,XCBE,XCBE,XCBE,XCBE
X35E,X35E,X35E,X35E,X35E,X35E
X15E,X15E,X15E,X15E,X15E,X15E
XTXE,XTXE,XTXE,XTXE,XTXE,XTXE
XEUM,XEUM,XEUM,XEUM,XEUM,XEUM
XIEE,XIEE,XIEE,XIEE,XIEE,XIEE
XREA,XREA,XREA,XREA,XREA,XREA
XDNE,XDNE,XDNE,XDNE,XDNE,XDNE
XESQ,XESQ,XESQ,XESQ,XESQ,XESQ
XBAE,XBAE,XBAE,XBAE,XBAE,XBAE
ETFCHINA,ETFCHINA,ETFCHINA,ETFCHINA,ETFCHINA,ETFCHINA
ETFUSAC,ETFUSAC,ETFUSAC,ETFUSAC,ETFUSAC,ETFUSAC
ETFGDAXI,ETFGDAXI,ETFGDAXI,ETFGDAXI,ETFGDAXI,ETFGDAXI
ELFC,ELFC,ELFC,ELFC,ELFC,ELFC
